metabolite_id	metabolite_name	control_summary	mild_summary	severe_summary	relative_pattern	allowed_interpretation	prohibited_interpretation
ME585814	Fucose 1-phosphate	median=1.04e+07; mean=1.12e+07; n=19	median=1.37e+06; mean=1.8e+06; n=30	median=1.46e+06; mean=2.09e+06; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585815	Galacturonate	median=2.54e+06; mean=2.31e+06; n=19	median=2.1e+06; mean=2.58e+06; n=30	median=3.87e+06; mean=4.02e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585816	Gamma-aminobutyrate	median=2.58e+07; mean=2.74e+07; n=19	median=3.77e+07; mean=3.94e+07; n=30	median=5.66e+07; mean=5.94e+07; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585817	Glu-Asp	median=5.97e+06; mean=5.9e+06; n=19	median=5.25e+06; mean=8.1e+06; n=30	median=3.16e+06; mean=4.07e+07; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585818	Gluconate	median=1.13e+08; mean=1.11e+08; n=19	median=1.11e+08; mean=1.61e+08; n=30	median=1.26e+08; mean=1.41e+08; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585819	Glucosamine 6-phosphate	median=8.64e+05; mean=8.36e+05; n=19	median=7.4e+05; mean=8.3e+05; n=30	median=9.02e+05; mean=1.03e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585820	Glucosamine 6-sulfate	median=2.79e+07; mean=3.05e+07; n=19	median=3.68e+07; mean=3.48e+07; n=30	median=4.29e+07; mean=4.11e+07; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585821	Glucose 6-phosphate	median=7.82e+07; mean=9.32e+07; n=19	median=2.71e+07; mean=3.17e+07; n=30	median=3.31e+07; mean=3.53e+07; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585822	Glucuronolactone	median=2.92e+05; mean=3.07e+05; n=19	median=8.16e+05; mean=8.38e+05; n=30	median=5.43e+05; mean=6.94e+05; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585823	Glu-Gln	median=1.36e+07; mean=1.98e+07; n=19	median=7.77e+06; mean=8.23e+06; n=30	median=8.81e+06; mean=1.12e+07; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585824	Glu-Glu	median=3.55e+05; mean=6.1e+05; n=19	median=4.49e+05; mean=4.72e+05; n=30	median=7.68e+05; mean=8.84e+05; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585825	Glu-Pro	median=4.08e+06; mean=4.29e+06; n=19	median=5.57e+06; mean=6.19e+06; n=30	median=7.18e+06; mean=7.6e+06; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585826	Glutamate	median=2.47e+09; mean=2.49e+09; n=19	median=2.84e+09; mean=2.82e+09; n=30	median=3.26e+09; mean=3.26e+09; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585827	Glutamine	median=5.34e+09; mean=5.43e+09; n=19	median=5.86e+09; mean=6.03e+09; n=30	median=6.21e+09; mean=5.93e+09; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585828	Glutamylcysteine	median=5.95e+05; mean=1.25e+06; n=19	median=1.18e+06; mean=1.21e+06; n=30	median=9.78e+05; mean=1.33e+06; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585829	glutamyllysine	median=1.32e+07; mean=2.03e+07; n=19	median=4.63e+07; mean=5.58e+07; n=30	median=1.34e+07; mean=1.75e+07; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585830	Glutarate	median=4e+06; mean=4.45e+06; n=19	median=5.01e+06; mean=5.11e+06; n=30	median=2.44e+06; mean=4.51e+06; n=26	S<C<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585831	Glutathione	median=5.63e+09; mean=5.49e+09; n=19	median=5.14e+09; mean=5.2e+09; n=30	median=5.06e+09; mean=5.3e+09; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585832	Glutathione disulfide	median=1.11e+08; mean=1.64e+08; n=19	median=5.18e+07; mean=7.94e+07; n=30	median=4.54e+07; mean=4.98e+07; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585834	Glycerol 3-phosphate	median=3.47e+06; mean=3.55e+06; n=19	median=1.65e+06; mean=2.02e+06; n=30	median=4.07e+06; mean=4.23e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585835	Glycerophosphocholine	median=2.09e+08; mean=2.12e+08; n=19	median=2.21e+08; mean=2.39e+08; n=30	median=1.64e+08; mean=2.97e+08; n=26	S<C<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585836	Glycerophosphoethanolamine	median=5.85e+06; mean=6.88e+06; n=19	median=7.09e+06; mean=7.91e+06; n=30	median=3.77e+06; mean=8.8e+06; n=26	S<C<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585837	Glycerophosphoglycerol	median=2.77e+06; mean=4.47e+06; n=19	median=5.28e+06; mean=7.94e+06; n=30	median=7.95e+06; mean=1.21e+07; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585838	Glycerophosphoinositol	median=8.37e+06; mean=9.33e+06; n=19	median=5.78e+06; mean=6.61e+06; n=30	median=8.45e+06; mean=1.05e+07; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585839	Glycine	median=9.53e+07; mean=9.85e+07; n=19	median=8e+07; mean=8.15e+07; n=30	median=1.1e+08; mean=1.09e+08; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585840	Glycineamideribotide	median=4.93e+03; mean=1.53e+05; n=19	median=1.27e+05; mean=3.96e+05; n=30	median=2.35e+04; mean=1.97e+05; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585841	Glycylglutamine	median=3.73e+09; mean=4.47e+09; n=19	median=7.83e+09; mean=8.82e+09; n=30	median=1.01e+10; mean=1.14e+10; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585842	Gly-Leu	median=1.28e+06; mean=4.48e+06; n=19	median=1.48e+06; mean=1.97e+06; n=30	median=1.09e+06; mean=1.31e+06; n=26	S<C<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585843	Guanidinoacetate	median=2.05e+08; mean=1.97e+08; n=19	median=7.26e+07; mean=1.16e+08; n=30	median=5.75e+07; mean=1.07e+08; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585844	Guanidinosuccinate	median=1.53e+05; mean=4.63e+05; n=19	median=1.44e+05; mean=2.09e+06; n=30	median=8.25e+05; mean=1.55e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585845	Guanine	median=8.01e+06; mean=1e+07; n=19	median=4.42e+06; mean=4.55e+06; n=30	median=4.55e+06; mean=5.28e+06; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585846	Guanosine	median=1.41e+05; mean=5.27e+05; n=19	median=6.48e+04; mean=5.37e+05; n=30	median=1.59e+05; mean=2.78e+05; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585847	Guanosine diphosphate	median=9.79e+06; mean=1.29e+07; n=19	median=8.47e+06; mean=9.81e+06; n=30	median=6.8e+06; mean=7.08e+06; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585848	Guanosine diphosphate mannose	median=1.57e+07; mean=1.47e+07; n=19	median=9.69e+06; mean=9.97e+06; n=30	median=6.48e+06; mean=6.85e+06; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585849	Guanosine monophosphate	median=1.51e+06; mean=4.4e+06; n=19	median=2.22e+06; mean=2.63e+06; n=30	median=2.99e+06; mean=3.57e+06; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585850	Hexose_RT7.2	median=4.35e+05; mean=3.59e+06; n=19	median=2.08e+05; mean=2.57e+05; n=30	median=1.66e+05; mean=2.12e+05; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585851	Hexose_RT7.7	median=3.99e+06; mean=5.37e+06; n=19	median=1.32e+07; mean=1.5e+07; n=30	median=5.69e+06; mean=1.08e+07; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585852	Hexose_RT8.7	median=2.58e+06; mean=3.73e+06; n=19	median=6.11e+06; mean=8.23e+06; n=30	median=6.66e+06; mean=1.1e+07; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585853	Hippurate	median=3.52e+06; mean=5.32e+06; n=19	median=2.68e+06; mean=1.41e+07; n=30	median=3.28e+06; mean=2.29e+07; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585854	Histamine	median=4e+08; mean=4.3e+08; n=19	median=6.67e+07; mean=1.28e+08; n=30	median=2.52e+07; mean=4.64e+07; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585855	Histidine	median=3.4e+08; mean=5.74e+08; n=19	median=1.93e+08; mean=2.31e+08; n=30	median=3.32e+08; mean=3.04e+08; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585856	Homoarginine	median=3.68e+06; mean=3.76e+06; n=19	median=3.07e+06; mean=3.56e+06; n=30	median=4.57e+06; mean=4.74e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585857	Homovanillate	median=1.03e+06; mean=1.02e+06; n=19	median=1.32e+06; mean=1.72e+06; n=30	median=1.65e+06; mean=2.82e+06; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585858	Hydroxycitrate	median=9.68e+07; mean=1.01e+08; n=19	median=6.47e+07; mean=7.74e+07; n=30	median=4.44e+07; mean=5.84e+07; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585859	Hydroxyphenyllactate	median=1.03e+06; mean=1.02e+06; n=19	median=1.32e+06; mean=1.72e+06; n=30	median=1.65e+06; mean=2.82e+06; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585860	Hypotaurine	median=6.97e+08; mean=8.62e+08; n=19	median=6.32e+08; mean=6.83e+08; n=30	median=1.38e+09; mean=1.67e+09; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585861	Hypoxanthine	median=5.38e+08; mean=5.66e+08; n=19	median=1.62e+08; mean=1.61e+08; n=30	median=9.4e+07; mean=1.21e+08; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585862	Indoxyl sulfate	median=1.19e+06; mean=7.28e+06; n=19	median=5.36e+05; mean=9.26e+05; n=30	median=4.41e+05; mean=1.21e+06; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585863	Inosine	median=1.25e+06; mean=5.11e+06; n=19	median=9.17e+05; mean=1.08e+06; n=30	median=1.77e+06; mean=2.14e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585864	Inosine monophosphate	median=1.32e+07; mean=7.04e+07; n=19	median=5.85e+06; mean=7.29e+06; n=30	median=6.81e+06; mean=8.99e+06; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585865	Itaconate	median=1.03e+07; mean=1.34e+07; n=19	median=7.49e+06; mean=8.51e+06; n=30	median=7.21e+06; mean=8.69e+06; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585866	Kynurenine	median=9.6e+06; mean=1.45e+07; n=19	median=4.55e+06; mean=6.72e+06; n=30	median=7.21e+06; mean=1.48e+07; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585867	Lactate	median=1.43e+09; mean=1.71e+09; n=19	median=1.13e+09; mean=1.52e+09; n=30	median=1.87e+09; mean=1.99e+09; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585868	Leucine/Isoleucine	median=3.29e+08; mean=1.02e+09; n=19	median=1.94e+08; mean=2.36e+08; n=30	median=2.38e+08; mean=2.37e+08; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585869	Leu-Pro	median=1.34e+08; mean=1.43e+08; n=19	median=1.18e+08; mean=1.61e+08; n=30	median=1.44e+08; mean=1.87e+08; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585870	Leu-Val	median=3.41e+06; mean=4.19e+06; n=19	median=5.77e+06; mean=7.74e+06; n=30	median=3.7e+06; mean=3.86e+06; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585871	Lysine	median=1.59e+08; mean=2.65e+08; n=19	median=1.66e+08; mean=1.72e+08; n=30	median=1.9e+08; mean=1.95e+08; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585872	Malate	median=7.82e+08; mean=7.81e+08; n=19	median=2.99e+08; mean=4.21e+08; n=30	median=3.22e+08; mean=3.45e+08; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585873	Methacholine	median=1.13e+08; mean=1.36e+08; n=19	median=1.51e+08; mean=2.17e+08; n=30	median=1.39e+08; mean=1.91e+08; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585874	Methionine	median=3.95e+07; mean=1.28e+08; n=19	median=2.21e+07; mean=2.96e+07; n=30	median=2.97e+07; mean=3.24e+07; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585875	Methyl 4-aminobutyrate	median=3.18e+08; mean=3.95e+08; n=19	median=2.8e+08; mean=2.93e+08; n=30	median=2.81e+08; mean=3.06e+08; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585876	Methylguanine	median=2.14e+05; mean=2.66e+05; n=19	median=3.23e+05; mean=8.01e+05; n=30	median=2.4e+06; mean=3.39e+06; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585877	Myoinositol	median=4.88e+07; mean=6.01e+07; n=19	median=5.99e+07; mean=7.13e+07; n=30	median=5.41e+07; mean=9.71e+07; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585881	N-Acetylalanine	median=6.72e+06; mean=7.07e+06; n=19	median=5.62e+06; mean=6.36e+06; n=30	median=7.78e+06; mean=7.9e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585882	N-Acetylasparagine	median=4.61e+06; mean=4.62e+06; n=19	median=5.63e+06; mean=5.78e+06; n=30	median=3.27e+06; mean=4.76e+06; n=26	S<C<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585883	N-Acetylcitrulline	median=4.21e+05; mean=7.15e+05; n=19	median=1.69e+06; mean=1.64e+06; n=30	median=6.88e+05; mean=9.33e+05; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585884	N-Acetylcysteine	median=4.34e+05; mean=8.53e+05; n=19	median=1.96e+05; mean=2.94e+05; n=30	median=2.12e+05; mean=3.46e+05; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585885	N-Acetylglutamine	median=4.07e+05; mean=4.89e+05; n=19	median=3.31e+05; mean=4.51e+05; n=30	median=4.86e+05; mean=6.46e+05; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585886	N-Acetylglycine	median=5.88e+06; mean=6.57e+06; n=19	median=5.33e+06; mean=5.9e+06; n=30	median=5.93e+06; mean=6.31e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585887	N-Acetylhexosamine	median=2.67e+06; mean=3.01e+06; n=19	median=2.39e+06; mean=2.5e+06; n=30	median=2.78e+06; mean=3.16e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585888	N-Acetylhexosamine phosphate	median=1.46e+07; mean=1.68e+07; n=19	median=1.61e+07; mean=1.7e+07; n=30	median=1.9e+07; mean=2.06e+07; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585889	N-Acetylhexosamine sulfate	median=1.22e+09; mean=1.14e+09; n=19	median=1.24e+09; mean=1.27e+09; n=30	median=1.34e+09; mean=1.37e+09; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585890	N-Acetylmethionine	median=7.57e+06; mean=9.2e+06; n=19	median=7.07e+06; mean=8.46e+06; n=30	median=7.71e+06; mean=9.52e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585891	N-Acetylneuraminate	median=3.29e+06; mean=3.86e+06; n=19	median=6.02e+06; mean=8.2e+06; n=30	median=4.22e+06; mean=5.53e+06; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585892	N-Acetylornithine	median=1.08e+06; mean=1.17e+06; n=19	median=3.58e+05; mean=1.04e+06; n=30	median=1.26e+05; mean=2.73e+05; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585893	N-Acetylserine	median=1.72e+08; mean=1.62e+08; n=19	median=1.07e+08; mean=1.04e+08; n=30	median=1.2e+08; mean=1.25e+08; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585894	NAD+	median=3.99e+07; mean=4.22e+07; n=19	median=3.69e+07; mean=4.18e+07; n=30	median=5.56e+07; mean=5.75e+07; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585895	NADH	median=4.39e+06; mean=6.27e+06; n=19	median=2.59e+06; mean=3.33e+06; n=30	median=1.82e+06; mean=2.34e+06; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585896	NADP+	median=9.57e+06; mean=9.63e+06; n=19	median=7.31e+06; mean=8.89e+06; n=30	median=5.13e+06; mean=5.82e+06; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585897	NADPH	median=2.6e+05; mean=4.13e+05; n=19	median=3.38e+05; mean=4.19e+05; n=30	median=5.57e+05; mean=7.31e+05; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585898	N-Formylmethionine	median=2.47e+06; mean=2.66e+06; n=19	median=2.34e+06; mean=2.47e+06; n=30	median=3.29e+06; mean=3.68e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585899	Nicotinamide	median=2.11e+07; mean=5.79e+07; n=19	median=2.07e+07; mean=2.64e+07; n=30	median=3.18e+07; mean=3.67e+07; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585879	N,N-Dimethylarginine	median=7.56e+07; mean=7.7e+07; n=19	median=8.18e+07; mean=8.53e+07; n=30	median=1.15e+08; mean=1.32e+08; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585880	N,N-Dimethyllysine	median=5.92e+06; mean=6.33e+06; n=19	median=4.81e+06; mean=6.24e+06; n=30	median=7.04e+06; mean=7.49e+06; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585878	N,N,N-Trimethyllysine	median=4.04e+07; mean=4.23e+07; n=19	median=2.21e+07; mean=3.46e+07; n=30	median=3.23e+07; mean=3.07e+07; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585900	Norleucine	median=2.95e+08; mean=5.81e+08; n=19	median=1.92e+08; mean=2.36e+08; n=30	median=2.38e+08; mean=2.37e+08; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585901	Ophthalmate	median=1.01e+07; mean=1.03e+07; n=19	median=1.65e+07; mean=2.09e+07; n=30	median=2.08e+07; mean=2.67e+07; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585902	Ornithine	median=2.5e+08; mean=2.52e+08; n=19	median=2.4e+08; mean=2.43e+08; n=30	median=2.95e+08; mean=3.08e+08; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585903	Orotate	median=8.66e+07; mean=8.17e+07; n=19	median=6.67e+07; mean=8.06e+07; n=30	median=4.41e+07; mean=5.7e+07; n=26	monotonic_decrease_C>=M>=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585904	Orotidine	median=2.52e+05; mean=3.23e+05; n=19	median=5.5e+05; mean=6.12e+05; n=30	median=4.92e+05; mean=6.07e+05; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585905	Oxoadipate	median=6.93e+05; mean=9.55e+05; n=19	median=6.1e+05; mean=5.92e+05; n=30	median=7.41e+05; mean=9.1e+05; n=26	M<C<S (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585906	PC (32:0)	median=2.43e+08; mean=3.59e+08; n=19	median=8.85e+08; mean=8.94e+08; n=30	median=9.54e+08; mean=9.86e+08; n=26	monotonic_increase_C<=M<=S	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585907	PC (32:1)	median=2.35e+08; mean=2.24e+08; n=19	median=3.42e+08; mean=3.41e+08; n=30	median=3.41e+08; mean=3.55e+08; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585908	PC (32:2)	median=3.52e+07; mean=3.63e+07; n=19	median=3.1e+07; mean=3.52e+07; n=30	median=3.16e+07; mean=3.86e+07; n=26	M<S<C (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
ME585909	PC (34:1)	median=4.42e+09; mean=4.27e+09; n=19	median=8.5e+09; mean=7.88e+09; n=30	median=7.93e+09; mean=8.15e+09; n=26	C<S<M (by median)	descriptive metabolic STATE difference across severity (relative pool level)	flux / causal mechanism / clinical prediction / executed neutrophil function
